airport_code,completion_rate,average_eta,active_drivers,driver_cancellation_rate,queue_size,surge_multiplier,request_volume,timestamp
SFO,0.91,8.2,420,0.06,185,1.2,3850,2026-09-15 09:00:00
SFO,0.89,9.1,395,0.08,210,1.3,4100,2026-09-15 10:00:00
SFO,0.87,10.4,370,0.10,245,1.4,4350,2026-09-15 11:00:00
SFO,0.90,9.0,405,0.07,220,1.3,4200,2026-09-15 12:00:00
SFO,0.93,7.5,440,0.05,170,1.1,3600,2026-09-15 13:00:00
SFO,0.92,7.8,430,0.05,165,1.1,3500,2026-09-15 14:00:00
SFO,0.88,10.1,380,0.09,230,1.3,4250,2026-09-15 15:00:00
SFO,0.86,11.2,355,0.11,260,1.4,4500,2026-09-15 16:00:00

LAX,0.94,7.1,510,0.04,150,1.1,3900,2026-09-15 09:00:00
LAX,0.92,8.0,495,0.05,175,1.2,4100,2026-09-15 10:00:00
LAX,0.90,8.9,470,0.07,200,1.3,4300,2026-09-15 11:00:00
LAX,0.89,9.5,450,0.08,225,1.3,4450,2026-09-15 12:00:00
LAX,0.93,7.6,500,0.05,180,1.2,4000,2026-09-15 13:00:00
LAX,0.95,6.8,525,0.03,140,1.0,3700,2026-09-15 14:00:00
LAX,0.91,8.4,480,0.06,190,1.2,4200,2026-09-15 15:00:00
LAX,0.88,9.8,445,0.09,240,1.4,4550,2026-09-15 16:00:00

JFK,0.90,9.0,390,0.07,210,1.2,3700,2026-09-15 09:00:00
JFK,0.88,10.2,365,0.09,235,1.3,4000,2026-09-15 10:00:00
JFK,0.86,11.0,345,0.11,260,1.4,4250,2026-09-15 11:00:00
JFK,0.84,12.3,320,0.13,290,1.5,4500,2026-09-15 12:00:00
JFK,0.89,9.7,370,0.08,245,1.3,4300,2026-09-15 13:00:00
JFK,0.92,8.1,405,0.05,190,1.2,3900,2026-09-15 14:00:00
JFK,0.91,8.5,400,0.06,195,1.2,4000,2026-09-15 15:00:00
JFK,0.87,10.5,350,0.10,255,1.4,4400,2026-09-15 16:00:00
